termin,pojazd,kto,lotnisko_z,lotnisko_do,latitude_deg_z,longitude_deg_z,iso_country_z,city_z,latitude_deg_do,longitude_deg_do,iso_country_do,city_do
06.2014,EMB,DT,EPWA,LHBP,52.1656990051,20.967100143399996,PL,Warsaw,47.42976,19.261093,HU,Budapest
06.2014,EMB,DT,LHBP,EPWA,47.42976,19.261093,HU,Budapest,52.1656990051,20.967100143399996,PL,Warsaw
06.2014,EMB,DT,EPWA,EBKT,52.1656990051,20.967100143399996,PL,Warsaw,50.817199707,3.20472002029,BE,Wevelgem
06.2014,EMB,DT,EBKT,EBBR,50.817199707,3.20472002029,BE,Wevelgem,50.901401519800004,4.48443984985,BE,Brussels
06.2014,EMB,DT,EBBR,EPWA,50.901401519800004,4.48443984985,BE,Brussels,52.1656990051,20.967100143399996,PL,Warsaw
07.2014,EMB,DT,EPWA,EDDT,52.1656990051,20.967100143399996,PL,Warsaw,52.5597,13.2877,DE,Berlin
07.2014,EMB,DT,EDDT,EPWA,52.5597,13.2877,DE,Berlin,52.1656990051,20.967100143399996,PL,Warsaw
07.2014,EMB,DT,EPWA,EBBR,52.1656990051,20.967100143399996,PL,Warsaw,50.901401519800004,4.48443984985,BE,Brussels
07.2014,EMB,DT,EBBR,EPWA,50.901401519800004,4.48443984985,BE,Brussels,52.1656990051,20.967100143399996,PL,Warsaw
08.2014,EMB,DT,EPWA,EBBR,52.1656990051,20.967100143399996,PL,Warsaw,50.901401519800004,4.48443984985,BE,Brussels
08.2014,EMB,DT,EBBR,EPGD,50.901401519800004,4.48443984985,BE,Brussels,54.377601623535156,18.46619987487793,PL,Gdańsk
08.2014,EMB,DT,EPGD,EPWA,54.377601623535156,18.46619987487793,PL,Gdańsk,52.1656990051,20.967100143399996,PL,Warsaw
09.2014,EMB,DT,EPGD,EPWA,54.377601623535156,18.46619987487793,PL,Gdańsk,52.1656990051,20.967100143399996,PL,Warsaw
09.2014,EMB,DT,EPWA,EPMO,52.1656990051,20.967100143399996,PL,Warsaw,52.451099,20.6518,PL,Warsaw
09.2014,Śmigłowiec W-3,DT,EPMO,EPWA,52.451099,20.6518,PL,Warsaw,52.1656990051,20.967100143399996,PL,Warsaw
09.2014,EMB,DT,EPWA,EPKT,52.1656990051,20.967100143399996,PL,Warsaw,50.4743,19.08,PL,Katowice
09.2014,EMB,DT,EPKT,EPWA,50.4743,19.08,PL,Katowice,52.1656990051,20.967100143399996,PL,Warsaw
10.2014,EMB,EK,EPWA,EBBR,52.1656990051,20.967100143399996,PL,Warsaw,50.901401519800004,4.48443984985,BE,Brussels
10.2014,EMB,EK,EBBR,EPWA,50.901401519800004,4.48443984985,BE,Brussels,52.1656990051,20.967100143399996,PL,Warsaw
10.2014,EMB,EK,EPWA,EPKT,52.1656990051,20.967100143399996,PL,Warsaw,50.4743,19.08,PL,Katowice
10.2014,EMB,EK,EPKT,EPWA,50.4743,19.08,PL,Katowice,52.1656990051,20.967100143399996,PL,Warsaw
10.2014,EMB,EK,EPWA,EDDT,52.1656990051,20.967100143399996,PL,Warsaw,52.5597,13.2877,DE,Berlin
10.2014,EMB,EK,EDDT,LFPG,52.5597,13.2877,DE,Berlin,49.012798,2.55,FR,Paris
10.2014,EMB,EK,LFPG,EPWA,49.012798,2.55,FR,Paris,52.1656990051,20.967100143399996,PL,Warsaw
10.2014,EMB,EK,EPWA,LIMC,52.1656990051,20.967100143399996,PL,Warsaw,45.6306,8.72811,IT,Milan
10.2014,EMB,EK,LIMC,EPWA,45.6306,8.72811,IT,Milan,52.1656990051,20.967100143399996,PL,Warsaw
10.2014,EMB,EK,EPWA,EBBR,52.1656990051,20.967100143399996,PL,Warsaw,50.901401519800004,4.48443984985,BE,Brussels
10.2014,EMB,EK,EBBR,EPWA,50.901401519800004,4.48443984985,BE,Brussels,52.1656990051,20.967100143399996,PL,Warsaw
10.2014,EMB,EK,EPWA,EPZG,52.1656990051,20.967100143399996,PL,Warsaw,52.138500213600004,15.7986001968,PL,Babimost
10.2014,EMB,EK,EPZG,EPWR,52.138500213600004,15.7986001968,PL,Babimost,51.1026992798,16.885799408,PL,Wrocław
10.2014,EMB,EK,EPWR,EPWA,51.1026992798,16.885799408,PL,Wrocław,52.1656990051,20.967100143399996,PL,Warsaw
11.2014,EMB,EK,EPWA,EPWR,52.1656990051,20.967100143399996,PL,Warsaw,51.1026992798,16.885799408,PL,Wrocław
11.2014,EMB,EK,EPWR,EPKT,51.1026992798,16.885799408,PL,Wrocław,50.4743,19.08,PL,Katowice
11.2014,EMB,EK,EPKT,EPWA,50.4743,19.08,PL,Katowice,52.1656990051,20.967100143399996,PL,Warsaw
11.2014,EMB,EK,EPWA,EPWR,52.1656990051,20.967100143399996,PL,Warsaw,51.1026992798,16.885799408,PL,Wrocław
11.2014,EMB,EK,EPWR,EPWA,51.1026992798,16.885799408,PL,Wrocław,52.1656990051,20.967100143399996,PL,Warsaw
12.2014,EMB,EK,EPWA,LKPR,52.1656990051,20.967100143399996,PL,Warsaw,50.1008,14.26,CZ,Prague
12.2014,EMB,EK,LKPR,EPWA,50.1008,14.26,CZ,Prague,52.1656990051,20.967100143399996,PL,Warsaw
12.2014,Śmigłowiec W-3,EK,EPWA,EPKT,52.1656990051,20.967100143399996,PL,Warsaw,50.4743,19.08,PL,Katowice
12.2014,EMB,EK,EPKT,EPWA,50.4743,19.08,PL,Katowice,52.1656990051,20.967100143399996,PL,Warsaw
12.2014,EMB,EK,EPWA,LZIB,52.1656990051,20.967100143399996,PL,Warsaw,48.17020034790039,17.21269989013672,SK,Bratislava
12.2014,EMB,EK,LZIB,EPWA,48.17020034790039,17.21269989013672,SK,Bratislava,52.1656990051,20.967100143399996,PL,Warsaw
12.2014,EMB,EK,EPWA,EPKK,52.1656990051,20.967100143399996,PL,Warsaw,50.077702,19.7848,PL,Kraków
