"","ID","Title","Year","Rating.x","Runtime","Genre","Director","Metacritic","imdbRating","Language","Country","Oscars","Rating.y","Meter","userMeter","userRating","BoxOffice"
"9500",1023500,"Doghouse",2009,"Not Rated",89,"Comedy, Horror","Jake West",NA,6.1,"English","UK",0,4.7,48,46,3.1,NA
"9501",1024255,"Wild Child",2008,"PG-13",124,"Comedy, Drama, Romance","Nick Moore",NA,6,"English","USA, UK, France",0,4.8,42,63,3.7,NA
"9502",1024257,"Young Yakuza",2007,"",90,"Documentary","Jean-Pierre Limosin",NA,6.6,"Japanese","France, USA, Japan",0,5.2,30,32,2.9,NA
"9503",1024648,"Argo",2012,"R",120,"Biography, Drama, History","Ben Affleck",86,7.8,"English, Persian","USA",3,8.4,96,90,4.2,1.36e+08
"9504",1024715,"Choke",2008,"R",92,"Comedy, Drama","Clark Gregg",47,6.5,"English","USA",0,5.6,54,53,3.2,2800000
"9505",1024770,"The People I've Slept With",2009,"",89,"Comedy","Quentin Lee",45,4.8,"English","USA",0,5.5,27,38,3,16400
"9506",1024942,"Just Another Love Story",2007,"",100,"Crime, Drama, Thriller","Ole Bornedal",69,7.3,"Danish","Denmark",0,6.1,72,82,3.8,NA
"9507",1024965,"Never Apologize",2007,"",111,"Documentary","Mike Kaplan",NA,7.5,"English","UK",0,6,67,63,3.4,NA
"9508",1027658,"Absurdistan",2008,"",88,"Comedy","Veit Helmer",NA,6.9,"Russian","Germany",0,6.7,82,75,3.7,NA
"9509",1027718,"Wall Street: Money Never Sleeps",2010,"PG-13",133,"Drama","Oliver Stone",59,6.3,"English","USA",0,6,55,44,3.1,52500000
"9510",1027743,"Sea Monsters: A Prehistoric Adventure",2007,"Unrated",40,"Documentary, Animation, Short","Sean MacLeod Phillips",NA,7,"English, Hebrew","USA",0,7.7,100,67,3.6,23600000
"9511",1027862,"Swing Vote",2008,"PG-13",120,"Comedy, Drama","Joshua Michael Stern",47,6.1,"English","USA",0,5.1,38,42,3,16200000
"9512",1028528,"Death Proof",2007,"R",113,"Action, Thriller","Quentin Tarantino",NA,7.1,"English","USA",0,5.8,67,72,3.6,NA
"9513",1028532,"Hachi: A Dog's Tale",2009,"G",93,"Drama, Family","Lasse Hallström",NA,8.2,"English, Japanese","USA, UK",0,5.8,62,85,4.1,NA
"9514",1028539,"Girls Rock!",2007,"PG",90,"Documentary, Music","Arne Johnson, Shane King",NA,6.8,"","",0,6.4,68,79,3.9,NA
"9515",1028576,"Secretariat",2010,"PG",123,"Drama, Family, History","Randall Wallace",61,7.2,"English","USA",0,6.1,64,76,3.8,59700000
"9516",1028581,"Love N' Dancing",2009,"PG-13",93,"Drama, Romance","Robert Iscove",43,5.4,"English","USA",0,3.3,18,42,3.2,NA
"9517",1029120,"Henry Poole Is Here",2008,"PG",99,"Comedy, Drama","Mark Pellington",44,6.5,"English, Spanish","USA",0,5.2,39,52,3.2,1700000
"9518",1029123,"I Know You Know",2008,"",81,"Drama","Justin Kerrigan",NA,6.3,"English","UK",0,5.5,64,47,3.3,NA
"9519",1029172,"The War on Democracy",2007,"",96,"Documentary","Christopher Martin, John Pilger, Sean Crotty",NA,8.2,"English","UK, Australia",0,6.1,77,86,4,NA
"9520",1029234,"Martyrs",2008,"R",99,"Drama, Horror, Thriller","Pascal Laugier",NA,7.1,"French","France, Canada",0,5.7,55,69,3.6,NA
"9521",1029235,"Max Manus: Man of War",2008,"Not Rated",118,"Action, Biography, Drama","Joachim Rønning, Espen Sandberg",60,7.4,"Norwegian, German, English, Russian, Finnish","Norway, Denmark, Germany",0,6.8,80,83,3.9,NA
"9522",1029241,"Vinyan",2008,"R",96,"Drama, Horror, Thriller","Fabrice Du Welz",NA,5.3,"English, Thai","France, Belgium, UK, Australia",0,5.9,56,31,2.5,NA
"9523",1029269,"Beyond the Pole",2009,"",87,"Comedy, Drama","David L. Williams",NA,6,"English","UK",0,6,62,44,3.4,NA
"9524",1031225,"The Cool School",2008,"",86,"Documentary","Morgan Neville",68,7.1,"English","USA",0,7,92,62,3.6,NA
"9525",1031243,"The Garden of Eden",2008,"R",111,"Drama","John Irvin",28,5.4,"English","UK, Spain",0,3.6,4,19,2.5,22100
"9526",1031280,"Splinter",2008,"R",82,"Horror, Thriller","Toby Wilkins",58,6.1,"English","USA",0,6.3,71,49,3.1,NA
"9527",1031947,"Munyurangabo",2007,"",97,"Drama","Lee Isaac Chung",NA,7.1,"Kinyarwanda","Rwanda, USA",0,7.7,95,62,3.5,NA
"9528",1031969,"The Rocker",2008,"PG-13",102,"Comedy, Music","Peter Cattaneo",53,6.2,"English","USA",0,5.2,41,47,3.1,6300000
"9529",1032751,"The Warrior's Way",2010,"R",100,"Action, Fantasy, Western","Sngmoo Lee",45,6.3,"English","New Zealand, South Korea",0,4.4,29,47,3.2,5700000
"9530",1032755,"RocknRolla",2008,"R",114,"Action, Crime, Thriller","Guy Ritchie",53,7.3,"English, Russian","UK, USA",0,6,59,71,3.6,5700000
"9531",1032815,"I Love You, Beth Cooper",2009,"PG-13",102,"Comedy, Romance","Chris Columbus",32,5.3,"English","Canada, USA",0,3.4,14,32,2.6,141200000
